"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.05.2024","191,29","190,76","192,18","190,63","49,95M","0,53%"
"29.05.2024","190,29","189,61","192,25","189,51","53,07M","0,16%"
"28.05.2024","189,99","191,51","193,00","189,10","52,28M","0,01%"
"24.05.2024","189,98","188,82","190,58","188,04","36,33M","1,66%"
"23.05.2024","186,88","190,98","191,00","186,63","51,01M","-2,11%"
"22.05.2024","190,90","192,26","192,82","190,27","34,65M","-0,75%"
"21.05.2024","192,35","191,09","192,73","190,92","42,31M","0,69%"
"20.05.2024","191,04","189,32","191,92","189,01","44,36M","0,62%"
"17.05.2024","189,87","189,51","190,81","189,18","41,28M","0,02%"
"16.05.2024","189,84","190,47","191,10","189,66","52,85M","0,06%"
"15.05.2024","189,72","187,91","190,65","187,37","70,40M","1,22%"
"14.05.2024","187,43","187,51","188,30","186,29","52,39M","0,62%"
"13.05.2024","186,28","185,43","187,10","184,62","72,04M","1,76%"
"10.05.2024","183,05","184,90","185,09","182,13","50,76M","-0,82%"
"09.05.2024","184,57","182,56","184,66","182,11","48,98M","1,00%"
"08.05.2024","182,74","182,85","183,07","181,45","45,06M","0,19%"
"07.05.2024","182,40","183,45","184,90","181,32","77,31M","0,38%"
"06.05.2024","181,71","182,35","184,20","180,42","78,57M","-0,91%"
"03.05.2024","183,38","186,65","187,00","182,66","163,22M","5,98%"
"02.05.2024","173,03","172,51","173,41","170,89","94,21M","2,20%"
"01.05.2024","169,30","169,58","172,71","169,11","50,38M","-0,60%"
"30.04.2024","170,33","173,33","174,99","170,00","65,93M","-1,83%"
"29.04.2024","173,50","173,37","176,03","173,10","68,17M","2,48%"
"26.04.2024","169,30","169,88","171,34","169,18","44,84M","-0,35%"
"25.04.2024","169,89","169,52","170,61","168,15","50,56M","0,51%"
"24.04.2024","169,02","166,54","169,30","166,21","48,25M","1,27%"
"23.04.2024","166,90","165,35","167,05","164,92","49,54M","0,64%"
"22.04.2024","165,84","165,51","167,26","164,77","48,12M","0,51%"
"19.04.2024","165,00","166,21","166,40","164,07","68,15M","-1,22%"
"18.04.2024","167,04","168,03","168,64","166,55","43,12M","-0,57%"
"17.04.2024","168,00","169,61","170,65","168,00","50,90M","-0,81%"
"16.04.2024","169,38","171,75","173,76","168,27","73,71M","-1,92%"
"15.04.2024","172,69","175,36","176,63","172,50","73,53M","-2,19%"
"12.04.2024","176,55","174,26","178,36","174,21","101,67M","0,86%"
"11.04.2024","175,04","168,34","175,46","168,16","91,07M","4,33%"
"10.04.2024","167,78","168,80","169,09","167,11","49,71M","-1,11%"
"09.04.2024","169,67","168,70","170,08","168,35","42,45M","0,72%"
"08.04.2024","168,45","169,03","169,20","168,24","37,43M","-0,67%"
"05.04.2024","169,58","169,59","170,39","168,95","42,10M","0,45%"
"04.04.2024","168,82","170,29","171,92","168,82","53,70M","-0,49%"
"03.04.2024","169,65","168,79","170,68","168,58","47,69M","0,48%"
"02.04.2024","168,84","169,08","169,34","168,23","49,33M","-0,70%"
"01.04.2024","170,03","171,19","171,25","169,48","46,24M","-0,85%"
"28.03.2024","171,48","171,75","172,23","170,51","65,67M","-1,06%"
"27.03.2024","173,31","170,41","173,60","170,11","60,27M","2,12%"
"26.03.2024","169,71","170,00","171,42","169,58","57,39M","-0,67%"
"25.03.2024","170,85","170,57","171,94","169,45","54,29M","-0,83%"
"22.03.2024","172,28","171,76","173,05","170,06","71,16M","0,53%"
"21.03.2024","171,37","177,05","177,49","170,84","106,18M","-4,09%"
"20.03.2024","178,67","175,72","178,67","175,09","53,42M","1,47%"
"19.03.2024","176,08","174,34","176,60","173,03","55,22M","1,36%"
"18.03.2024","173,72","175,57","177,71","173,52","75,60M","0,64%"
"15.03.2024","172,62","171,17","172,62","170,29","121,75M","-0,22%"
"14.03.2024","173,00","172,91","174,31","172,05","72,91M","1,09%"
"13.03.2024","171,13","172,77","173,18","170,76","52,49M","-1,21%"
"12.03.2024","173,23","173,15","174,03","171,01","59,83M","0,28%"
"11.03.2024","172,75","172,94","174,38","172,05","60,14M","1,18%"
"08.03.2024","170,73","169,00","173,70","168,94","76,27M","1,02%"
"07.03.2024","169,00","169,15","170,73","168,49","71,77M","-0,07%"
"06.03.2024","169,12","171,06","171,24","168,68","68,59M","-0,59%"
"05.03.2024","170,12","170,76","172,04","169,62","95,13M","-2,84%"
"04.03.2024","175,10","176,15","176,90","173,79","81,51M","-2,54%"
"01.03.2024","179,66","179,55","180,53","177,38","73,56M","-0,60%"
"29.02.2024","180,75","181,27","182,57","179,53","136,68M","-0,37%"
"28.02.2024","181,42","182,51","183,12","180,13","48,95M","-0,66%"
"27.02.2024","182,63","181,10","183,92","179,56","54,32M","0,81%"
"26.02.2024","181,16","182,24","182,76","180,65","40,87M","-0,75%"
"23.02.2024","182,52","185,01","185,04","182,23","45,12M","-1,00%"
"22.02.2024","184,37","183,48","184,96","182,46","52,29M","1,12%"
"21.02.2024","182,32","181,94","182,89","180,66","41,53M","0,42%"
"20.02.2024","181,56","181,79","182,43","180,00","53,67M","-0,41%"
"16.02.2024","182,31","183,42","184,85","181,66","49,75M","-0,84%"
"15.02.2024","183,86","183,55","184,49","181,35","65,43M","-0,16%"
"14.02.2024","184,15","185,32","185,53","182,44","54,63M","-0,48%"
"13.02.2024","185,04","185,77","186,21","183,51","56,53M","-1,13%"
"12.02.2024","187,15","188,41","188,67","186,79","41,78M","-0,90%"
"09.02.2024","188,85","188,65","189,99","188,00","45,16M","0,28%"
"08.02.2024","188,32","189,38","189,54","187,35","40,96M","-0,58%"
"07.02.2024","189,41","190,64","191,05","188,61","53,44M","0,06%"
"06.02.2024","189,30","186,86","189,31","186,77","43,49M","0,86%"
"05.02.2024","187,68","188,15","189,25","185,84","69,67M","0,98%"
"02.02.2024","185,85","179,86","187,33","179,25","102,55M","-0,54%"
"01.02.2024","186,86","183,99","186,95","183,82","64,89M","1,33%"
"31.01.2024","184,40","187,04","187,10","184,35","55,47M","-1,94%"
"30.01.2024","188,04","190,94","191,80","187,47","55,86M","-1,92%"
"29.01.2024","191,73","192,01","192,20","189,58","47,15M","-0,36%"
"26.01.2024","192,42","194,27","194,76","191,94","44,59M","-0,90%"
"25.01.2024","194,17","195,22","196,27","193,11","54,82M","-0,17%"
"24.01.2024","194,50","195,42","196,38","194,34","53,63M","-0,35%"
"23.01.2024","195,18","195,02","195,75","193,83","42,36M","0,67%"
"22.01.2024","193,89","192,30","195,33","192,26","60,13M","1,22%"
"19.01.2024","191,56","189,33","191,95","188,82","68,90M","1,55%"
"18.01.2024","188,63","186,09","189,14","185,83","78,01M","3,26%"
"17.01.2024","182,68","181,27","182,93","180,30","47,32M","-0,52%"
"16.01.2024","183,63","182,16","184,26","180,93","65,60M","-1,23%"
"12.01.2024","185,92","186,06","186,74","185,19","40,48M","0,18%"
"11.01.2024","185,59","186,54","187,05","183,62","49,13M","-0,32%"
"10.01.2024","186,19","184,35","186,40","183,92","46,79M","0,57%"
"09.01.2024","185,14","183,92","185,15","182,73","42,84M","-0,23%"
"08.01.2024","185,56","182,09","185,60","181,50","59,14M","2,42%"
"05.01.2024","181,18","181,99","182,76","180,17","62,38M","-0,40%"
"04.01.2024","181,91","182,15","183,09","180,88","71,98M","-1,27%"
"03.01.2024","184,25","184,22","185,88","183,43","58,41M","-0,75%"
"02.01.2024","185,64","187,15","188,44","183,88","82,49M","-3,58%"
"29.12.2023","192,53","193,90","194,40","191,73","42,67M","-0,54%"
"28.12.2023","193,58","194,14","194,66","193,17","34,05M","0,22%"
"27.12.2023","193,15","192,49","193,50","191,09","48,09M","0,05%"
"26.12.2023","193,05","193,61","193,89","192,83","28,92M","-0,28%"
"22.12.2023","193,60","195,18","195,41","192,97","37,15M","-0,55%"
"21.12.2023","194,68","196,10","197,08","193,50","46,48M","-0,08%"
"20.12.2023","194,83","196,90","197,68","194,83","52,24M","-1,07%"
"19.12.2023","196,94","196,16","196,95","195,89","40,71M","0,54%"
"18.12.2023","195,89","196,09","196,63","194,39","55,75M","-0,85%"
"15.12.2023","197,57","197,53","198,40","197,00","128,54M","-0,27%"
"14.12.2023","198,11","198,02","199,62","196,16","66,83M","0,08%"
"13.12.2023","197,96","195,09","198,00","194,85","70,40M","1,67%"
"12.12.2023","194,71","193,08","194,72","191,72","52,70M","0,79%"
"11.12.2023","193,18","193,11","193,49","191,42","60,94M","-1,29%"
"08.12.2023","195,71","194,20","195,99","193,67","53,41M","0,74%"
"07.12.2023","194,27","193,63","195,00","193,59","47,48M","1,01%"
"06.12.2023","192,32","194,45","194,76","192,11","41,09M","-0,57%"
"05.12.2023","193,42","190,21","194,40","190,18","66,63M","2,11%"
"04.12.2023","189,43","189,98","190,05","187,45","43,39M","-0,95%"
"01.12.2023","191,24","190,33","191,56","189,23","45,70M","0,68%"
"30.11.2023","189,95","189,84","190,32","188,19","48,79M","0,31%"
"29.11.2023","189,37","190,90","192,09","188,97","43,01M","-0,54%"
"28.11.2023","190,40","189,78","191,08","189,40","38,42M","0,32%"
"27.11.2023","189,79","189,92","190,67","188,90","40,55M","-0,09%"
"24.11.2023","189,97","190,87","190,90","189,25","24,05M","-0,70%"
"22.11.2023","191,31","191,49","192,93","190,82","39,63M","0,35%"
"21.11.2023","190,64","191,41","191,52","189,74","38,13M","-0,42%"
"20.11.2023","191,45","189,89","191,90","189,88","46,54M","0,93%"
"17.11.2023","189,69","190,25","190,38","188,57","50,94M","-0,01%"
"16.11.2023","189,71","189,57","190,96","188,65","54,41M","0,90%"
"15.11.2023","188,01","187,85","189,50","187,78","53,79M","0,30%"
"14.11.2023","187,44","187,70","188,11","186,30","60,11M","1,43%"
"13.11.2023","184,80","185,82","186,03","184,21","43,63M","-0,86%"
"10.11.2023","186,40","183,97","186,57","183,53","66,18M","2,19%"
"09.11.2023","182,41","182,96","184,12","181,81","53,76M","-0,26%"
"08.11.2023","182,89","182,35","183,45","181,59","49,34M","0,59%"
"07.11.2023","181,82","179,18","182,44","178,97","70,53M","1,45%"
"06.11.2023","179,23","176,38","179,43","176,21","63,84M","1,46%"
"03.11.2023","176,65","174,24","176,82","173,35","79,83M","-0,52%"
"02.11.2023","177,57","175,52","177,78","175,46","77,33M","2,07%"
"01.11.2023","173,97","171,00","174,23","170,12","56,93M","1,87%"
"31.10.2023","170,77","169,35","170,90","167,90","44,85M","0,28%"
"30.10.2023","170,29","169,02","171,17","168,87","51,13M","1,23%"
"27.10.2023","168,22","166,91","168,96","166,83","58,50M","0,80%"
"26.10.2023","166,89","170,37","171,38","165,67","70,63M","-2,46%"
"25.10.2023","171,10","171,88","173,06","170,65","57,16M","-1,35%"
"24.10.2023","173,44","173,05","173,67","171,45","43,82M","0,25%"
"23.10.2023","173,00","170,91","174,01","169,93","55,98M","0,07%"
"20.10.2023","172,88","175,31","175,42","172,64","64,24M","-1,47%"
"19.10.2023","175,46","176,04","177,84","175,19","59,30M","-0,22%"
"18.10.2023","175,84","175,58","177,57","175,11","54,76M","-0,74%"
"17.10.2023","177,15","176,65","178,42","174,80","57,55M","-0,88%"
"16.10.2023","178,72","176,75","179,07","176,51","52,52M","-0,07%"
"13.10.2023","178,85","181,42","181,93","178,14","51,46M","-1,03%"
"12.10.2023","180,71","180,07","182,34","179,04","56,74M","0,51%"
"11.10.2023","179,80","178,20","179,85","177,60","47,55M","0,79%"
"10.10.2023","178,39","178,10","179,72","177,95","43,70M","-0,34%"
"09.10.2023","178,99","176,81","179,05","175,80","42,39M","0,85%"
"06.10.2023","177,49","173,80","177,99","173,18","57,27M","1,48%"
"05.10.2023","174,91","173,79","175,45","172,68","48,53M","0,72%"
"04.10.2023","173,66","171,09","174,21","170,97","53,02M","0,73%"
"03.10.2023","172,40","172,26","173,63","170,82","49,59M","-0,78%"
"02.10.2023","173,75","171,22","174,30","170,93","52,16M","1,48%"
"29.09.2023","171,21","172,02","173,07","170,34","51,86M","0,30%"
"28.09.2023","170,69","169,34","172,03","167,62","56,29M","0,15%"
"27.09.2023","170,43","172,62","173,04","169,05","66,92M","-0,89%"
"26.09.2023","171,96","174,82","175,20","171,66","64,59M","-2,34%"
"25.09.2023","176,08","174,20","176,97","174,15","46,17M","0,74%"
"22.09.2023","174,79","174,67","177,08","174,05","56,73M","0,49%"
"21.09.2023","173,93","174,55","176,30","173,86","63,15M","-0,89%"
"20.09.2023","175,49","179,26","179,70","175,40","58,44M","-2,00%"
"19.09.2023","179,07","177,52","179,63","177,13","51,83M","0,62%"
"18.09.2023","177,97","176,48","179,38","176,17","67,26M","1,69%"
"15.09.2023","175,01","176,48","176,49","173,82","109,26M","-0,42%"
"14.09.2023","175,74","174,00","176,10","173,58","60,90M","0,88%"
"13.09.2023","174,21","176,51","177,30","173,98","84,27M","-1,19%"
"12.09.2023","176,30","179,49","180,13","174,82","90,37M","-1,71%"
"11.09.2023","179,36","180,07","180,30","177,34","58,95M","0,66%"
